fast_period,slow_period,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor
20,30,0.07977526324900681,0.6559662879659414,-0.020668126017697984,0.3064516129032258,62,0
20,40,0.06476059422414256,0.5692805055354264,-0.032792968934472914,0.25,44,0
15,50,0.06874776480457112,0.5691723327254696,-0.035496291295403555,0.2619047619047619,42,0
8,30,0.07794845779226198,0.553067920446886,-0.02536583697350738,0.25806451612903225,62,0
10,30,0.07214255786894301,0.5452735105614019,-0.025674063485286815,0.23333333333333334,60,0
15,30,0.06405255563686915,0.5336100855972725,-0.03455800236068805,0.30357142857142855,56,0
8,40,0.05834224826169411,0.4809250943527166,-0.03153353149304404,0.24074074074074073,54,0
15,40,0.05661273225896512,0.4643549197871673,-0.03282788134866643,0.2608695652173913,46,0
15,60,0.04870208686551941,0.4352943984134431,-0.033919191529565795,0.23809523809523808,42,0
5,40,0.050243286563249785,0.4021641231320257,-0.03956300862192382,0.1935483870967742,62,0
10,20,0.057141287688219564,0.3723347031291188,-0.054105906355565524,0.22448979591836735,98,0
15,20,0.05001364344018948,0.33482344373957573,-0.04950482340205497,0.22033898305084745,118,0
20,60,0.03741231082508457,0.332124959822406,-0.0400997524065941,0.23684210526315788,38,0
8,60,0.0410993503649559,0.3269805528991662,-0.03996649273798535,0.1875,48,0
5,20,0.050287536628435006,0.32586776076598056,-0.07319076035477694,0.17857142857142858,112,0
10,50,0.03719209082798316,0.31328403746965616,-0.05318266664913387,0.21739130434782608,46,0
20,50,0.033885988023243226,0.29346337616187085,-0.04165387539920119,0.23809523809523808,42,0
10,60,0.028550743078103916,0.23471824399452787,-0.040065937084769986,0.19047619047619047,42,0
5,30,0.03226940019040994,0.22986826840757588,-0.035212048602379864,0.175,80,0
8,20,0.032753699434555895,0.22101505954410008,-0.08702726339541415,0.20408163265306123,98,0
5,50,0.01764889977404782,0.14604828296647585,-0.05376227671385723,0.1935483870967742,62,0
5,60,0.01300266389514909,0.11028863159559778,-0.05642749532899784,0.15517241379310345,58,0
8,50,0.005673831200336645,0.05302331214786003,-0.05083574524662362,0.19230769230769232,52,0
10,40,1.0748079414224775e-05,0.008060975230508485,-0.05673245898921287,0.2037037037037037,54,0
